name,position,team,pass_comp,pass_att,pass_yds,pass_td,int,rush_car,rush_yds,rush_td,rec,rec_yds,rec_td,tar,tackles,sacks,forced_fumbles,fum_rec,def_int,int_td,fum_td,espn_fpts
Wan'Dale Robinson,WR,TEN,0,0,0,0,0,4,22,0,80,821,2,117,0,0,0,0,0,0,0,175.6
Brian Thomas Jr.,WR,JAX,0,0,0,0,0,4,24,0,55,842,5,98,0,0,0,0,0,0,0,172.3
David Montgomery,RB,HOU,0,0,0,0,0,219,951,7,31,230,1,38,0,0,0,0,0,0,0,193.8
Tony Pollard,RB,TEN,0,0,0,0,0,244,1064,6,34,209,1,45,0,0,0,0,0,0,0,196.8
Aaron Jones Sr.,RB,MIN,0,0,0,0,0,169,737,4,47,342,2,60,0,0,0,0,0,0,0,187.6
Harold Fannin Jr.,TE,CLE,0,0,0,0,0,8,20,0,85,829,3,122,0,0,0,0,0,0,0,190.7
Sam LaPorta,TE,DET,0,0,0,0,0,0,0,0,74,768,5,97,0,0,0,0,0,0,0,182.5
Dallas Goedert,TE,PHI,0,0,0,0,0,0,0,0,68,712,6,90,0,0,0,0,0,0,0,172.7
Travis Kelce,TE,KC,0,0,0,0,0,0,0,0,70,750,4,99,0,0,0,0,0,0,0,171
Brock Purdy,QB,SF,343,517,4125,27,14,65,275,4,0,0,0,0,0,0,0,0,0,0,0,291.1
Trevor Lawrence,QB,JAX,335,540,3854,25,13,73,334,5,0,0,0,0,0,0,0,0,0,0,0,284.7
Dak Prescott,QB,DAL,366,548,4083,30,12,52,188,2,0,0,0,0,0,0,0,0,0,0,0,285.3
Jaylen Warren,RB,PIT,0,0,0,0,0,179,787,4,47,322,1,58,0,0,0,0,0,0,0,191.8
Rhamondre Stevenson,RB,NE,0,0,0,0,0,176,751,7,37,306,2,45,0,0,0,0,0,0,0,191.6
Rico Dowdle,RB,PIT,0,0,0,0,0,222,970,5,30,212,1,40,0,0,0,0,0,0,0,185.7
Kenneth Gainwell,RB,TB,0,0,0,0,0,110,486,4,55,371,2,68,0,0,0,0,0,0,0,180
J.K. Dobbins,RB,DEN,0,0,0,0,0,222,1038,7,19,116,1,25,0,0,0,0,0,0,0,180.1
Rachaad White,RB,WSH,0,0,0,0,0,149,626,6,47,294,2,51,0,0,0,0,0,0,0,184
KC Concepcion,WR,CLE,0,0,0,0,0,6,34,0,63,783,3,101,0,0,0,0,0,0,0,165.6
Jordan Addison,WR,MIN,0,0,0,0,0,2,14,0,60,766,5,99,0,0,0,0,0,0,0,169.4
Michael Wilson,WR,ARI,0,0,0,0,0,0,0,0,68,823,3,111,0,0,0,0,0,0,0,169.5
Makai Lemon,WR,PHI,0,0,0,0,0,0,0,0,60,868,5,95,0,0,0,0,0,0,0,178.7
Khalil Shakir,WR,BUF,0,0,0,0,0,2,13,0,72,800,4,95,0,0,0,0,0,0,0,177.7
Tank Bigsby,RB,PHI,0,0,0,0,0,85,380,3,4,28,0,5,0,0,0,0,0,0,0,64.8
Germie Bernard,WR,PIT,0,0,0,0,0,2,12,0,48,599,3,81,0,0,0,0,0,0,0,128.2
Rashid Shaheed,WR,SEA,0,0,0,0,0,14,88,1,41,633,3,68,0,0,0,0,0,0,0,141.3
Denzel Boston,WR,CLE,0,0,0,0,0,0,0,0,56,693,3,90,0,0,0,0,0,0,0,143.3
Tre Tucker,WR,LV,0,0,0,0,0,10,56,0,49,659,3,82,0,0,0,0,0,0,0,138.3
Chris Bell,WR,MIA,0,0,0,0,0,0,0,0,46,597,2,75,0,0,0,0,0,0,0,117.8
Caleb Douglas,WR,MIA,0,0,0,0,0,0,0,0,46,597,2,75,0,0,0,0,0,0,0,117.8
Travis Hunter,"WR, CB",JAX,0,0,0,0,0,2,11,0,33,400,3,55,0,0,0,0,0,0,0,91.9
Rashod Bateman,WR,BAL,0,0,0,0,0,0,0,0,36,602,4,63,0,0,0,0,0,0,0,119.8
Ray Davis,RB,BUF,0,0,0,0,0,33,140,1,8,59,0,10,0,0,0,0,0,0,0,38.1
Mike Washington Jr.,RB,LV,0,0,0,0,0,86,356,2,8,60,0,11,0,0,0,0,0,0,0,64.6
Justice Hill,RB,BAL,0,0,0,0,0,50,227,1,38,342,2,49,0,0,0,0,0,0,0,112.4
Tyreek Hill,WR,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jauan Jennings,WR,MIN,0,0,0,0,0,0,0,0,46,484,3,71,0,0,0,0,0,0,0,113.8
Dalton Kincaid,TE,BUF,0,0,0,0,0,0,0,0,58,688,4,80,0,0,0,0,0,0,0,152.9
Brenton Strange,TE,JAX,0,0,0,0,0,0,0,0,57,587,4,82,0,0,0,0,0,0,0,138.8
Kenyon Sadiq,TE,NYJ,0,0,0,0,0,0,0,0,66,689,4,90,0,0,0,0,0,0,0,161.4
Hunter Henry,TE,NE,0,0,0,0,0,0,0,0,53,614,5,74,0,0,0,0,0,0,0,145.9
Broncos D/ST,DST,DEN,0,0,0,0,0,0,0,0,0,0,0,0,1021,45,10,7,13,1,1,130.6
Texans D/ST,DST,HOU,0,0,0,0,0,0,0,0,0,0,0,0,1024,41,17,11,12,1,1,126.7
Seahawks D/ST,DST,SEA,0,0,0,0,0,0,0,0,0,0,0,0,1060,42,11,7,13,1,1,119.4
Patriots D/ST,DST,NE,0,0,0,0,0,0,0,0,0,0,0,0,1022,41,9,6,13,1,1,100
Steelers D/ST,DST,PIT,0,0,0,0,0,0,0,0,0,0,0,0,1030,43,15,9,12,1,1,125.6
Eagles D/ST,DST,PHI,0,0,0,0,0,0,0,0,0,0,0,0,948,39,11,7,12,1,1,106.8
Ravens D/ST,DST,BAL,0,0,0,0,0,0,0,0,0,0,0,0,1016,44,12,8,12,1,1,116.7
Browns D/ST,DST,CLE,0,0,0,0,0,0,0,0,0,0,0,0,1022,42,11,7,11,1,1,103.7
Jaguars D/ST,DST,JAX,0,0,0,0,0,0,0,0,0,0,0,0,1029,41,10,7,13,1,1,77.2
Chiefs D/ST,DST,KC,0,0,0,0,0,0,0,0,0,0,0,0,1041,41,10,7,12,1,1,99.8
Rams D/ST,DST,LAR,0,0,0,0,0,0,0,0,0,0,0,0,1067,42,13,8,12,1,1,122.9
Saints D/ST,DST,NO,0,0,0,0,0,0,0,0,0,0,0,0,988,38,10,7,12,1,1,79
Brandon Aubrey,K,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.8
Cameron Dicker,K,LAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.7
Jason Myers,K,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.4
Harrison Mevis,K,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.7
Ka'imi Fairbairn,K,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.5
Eddy Pineiro,K,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155.3
Harrison Butker,K,KC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.4
Cam Little,K,JAX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.1
Jake Bates,K,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.1
Cairo Santos,K,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.4
Tyler Loop,K,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.6
Will Reichard,K,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.9
Deebo Samuel,WR,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stefon Diggs,WR,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan James,RB,SF,0,0,0,0,0,80,344,2,8,63,0,10,0,0,0,0,0,0,0,64.6
Kaelon Black,RB,SF,0,0,0,0,0,45,185,1,4,31,0,5,0,0,0,0,0,0,0,34.6
Brandon Aiyuk,WR,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Love,QB,GB,331,514,3927,25,10,50,210,1,0,0,0,0,0,0,0,0,0,0,0,257
Cam Ward,QB,TEN,359,565,3777,16,10,46,199,2,0,0,0,0,0,0,0,0,0,0,0,219.6
C.J. Stroud,QB,HOU,347,545,3923,21,12,57,250,1,0,0,0,0,0,0,0,0,0,0,0,244.6
DJ Giddens,RB,IND,0,0,0,0,0,33,141,1,8,56,0,10,0,0,0,0,0,0,0,35.7
Dontayvion Wicks,WR,PHI,0,0,0,0,0,0,0,0,21,265,2,33,0,0,0,0,0,0,0,56
Devaughn Vele,WR,NO,0,0,0,0,0,0,0,0,25,259,2,39,0,0,0,0,0,0,0,61.1
Colts D/ST,DST,IND,0,0,0,0,0,0,0,0,0,0,0,0,994,39,9,6,12,1,1,87.2
Chargers D/ST,DST,LAC,0,0,0,0,0,0,0,0,0,0,0,0,1004,40,12,8,13,1,1,93.7
Chase McLaughlin,K,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.2
Nick Folk,K,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.4
Jake Tonges,TE,SF,0,0,0,0,0,0,0,0,24,255,2,33,0,0,0,0,0,0,0,62
Mike Gesicki,TE,CIN,0,0,0,0,0,0,0,0,43,427,5,61,0,0,0,0,0,0,0,115.6
Greg Dulcich,TE,MIA,0,0,0,0,0,0,0,0,52,555,2,75,0,0,0,0,0,0,0,115.5
Kayshon Boutte,WR,NE,0,0,0,0,0,0,0,0,19,266,2,30,0,0,0,0,0,0,0,56.4
Kyle Williams,WR,NE,0,0,0,0,0,4,23,0,6,90,1,10,0,0,0,0,0,0,0,22.2
Keon Coleman,WR,BUF,0,0,0,0,0,0,0,0,22,305,3,37,0,0,0,0,0,0,0,68.2
Troy Franklin,WR,DEN,0,0,0,0,0,2,11,0,16,212,2,27,0,0,0,0,0,0,0,49.8
Emanuel Wilson,RB,SEA,0,0,0,0,0,40,168,1,7,51,0,9,0,0,0,0,0,0,0,38.3
Tyler Badie,RB,DEN,0,0,0,0,0,4,18,0,14,114,1,19,0,0,0,0,0,0,0,31.5
Geno Smith,QB,NYJ,359,528,3804,20,14,58,219,1,0,0,0,0,0,0,0,0,0,0,0,231.5
Aaron Rodgers,QB,FA,370,580,3800,20,11,28,100,1,0,0,0,0,0,0,0,0,0,0,0,0
Deshaun Watson,QB,CLE,177,288,1882,8,6,38,191,1,0,0,0,0,0,0,0,0,0,0,0,116.3
Jacoby Brissett,QB,ARI,336,531,3397,15,9,47,208,1,0,0,0,0,0,0,0,0,0,0,0,199.7
Dyami Brown,WR,WSH,0,0,0,0,0,0,0,0,30,394,3,46,0,0,0,0,0,0,0,85.1
Nick Westbrook-Ikhine,WR,IND,0,0,0,0,0,0,0,0,33,428,3,56,0,0,0,0,0,0,0,94.2
Olamide Zaccheaus,WR,ATL,0,0,0,0,0,0,0,0,36,376,2,56,0,0,0,0,0,0,0,82.8
Van Jefferson,WR,WSH,0,0,0,0,0,0,0,0,28,357,2,46,0,0,0,0,0,0,0,75.1
Tai Felton,WR,MIN,0,0,0,0,0,0,0,0,4,37,0,5,0,0,0,0,0,0,0,9
Will Shipley,RB,PHI,0,0,0,0,0,9,40,0,11,82,0,14,0,0,0,0,0,0,0,27.5
Sean Tucker,RB,TB,0,0,0,0,0,35,147,2,0,0,0,0,0,0,0,0,0,0,0,27
Devin Singletary,RB,NYG,0,0,0,0,0,35,142,1,4,26,0,5,0,0,0,0,0,0,0,27.4
Hunter Luepke,RB,DAL,0,0,0,0,0,14,58,0,9,61,0,11,0,0,0,0,0,0,0,25.1
Malik Davis,RB,DAL,0,0,0,0,0,32,139,1,4,29,0,6,0,0,0,0,0,0,0,27.7
Trevor Etienne,RB,CAR,0,0,0,0,0,12,52,0,4,29,0,5,0,0,0,0,0,0,0,16.7
Emmett Johnson,RB,KC,0,0,0,0,0,71,295,2,8,58,0,10,0,0,0,0,0,0,0,58.1
Tahj Brooks,RB,CIN,0,0,0,0,0,27,114,1,0,0,0,0,0,0,0,0,0,0,0,16.2
Andrei Iosivas,WR,CIN,0,0,0,0,0,2,11,0,26,312,3,44,0,0,0,0,0,0,0,75.7
Packers D/ST,DST,GB,0,0,0,0,0,0,0,0,0,0,0,0,1011,41,11,7,12,1,1,88.9
Bills D/ST,DST,BUF,0,0,0,0,0,0,0,0,0,0,0,0,1015,41,10,7,12,1,1,58.3
Evan McPherson,K,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.8
Trey Smack,K,GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.1
David Njoku,TE,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terrance Ferguson,TE,LAR,0,0,0,0,0,0,0,0,30,386,4,47,0,0,0,0,0,0,0,90.3
Evan Engram,TE,DEN,0,0,0,0,0,0,0,0,46,455,2,66,0,0,0,0,0,0,0,104.2
Cade Otton,TE,TB,0,0,0,0,0,0,0,0,47,477,2,68,0,0,0,0,0,0,0,109.4
Michael Mayer,TE,LV,0,0,0,0,0,0,0,0,37,364,1,55,0,0,0,0,0,0,0,81.2
Marvin Mims Jr.,WR,DEN,0,0,0,0,0,8,46,0,23,268,2,33,0,0,0,0,0,0,0,68.7
KaVontae Turpin,WR,DAL,0,0,0,0,0,18,106,0,18,229,2,28,0,0,0,0,0,0,0,66.9
Tua Tagovailoa,QB,ATL,207,305,2191,11,8,16,44,0,0,0,0,0,0,0,0,0,0,0,0,116.2
Bears D/ST,DST,CHI,0,0,0,0,0,0,0,0,0,0,0,0,1007,38,15,10,13,1,1,87.1
Buccaneers D/ST,DST,TB,0,0,0,0,0,0,0,0,0,0,0,0,1010,42,8,5,12,1,1,94.2
49ers D/ST,DST,SF,0,0,0,0,0,0,0,0,0,0,0,0,1055,38,14,9,11,1,1,79.9
Raiders D/ST,DST,LV,0,0,0,0,0,0,0,0,0,0,0,0,1052,37,11,7,10,1,1,55.3
Andy Borregales,K,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.8
Zane Gonzalez,K,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.3
Matt Gay,K,LV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.2
Ryan Fitzgerald,K,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.2
Joey Slye,K,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.1
Chad Ryland,K,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.7
Andre Szmyt,K,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.4
Cade York,K,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.3
Panthers D/ST,DST,CAR,0,0,0,0,0,0,0,0,0,0,0,0,995,37,8,5,11,1,1,69.7
Jets D/ST,DST,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,1052,38,12,8,11,1,1,79.4
Falcons D/ST,DST,ATL,0,0,0,0,0,0,0,0,0,0,0,0,1003,38,12,8,12,1,1,56
Bengals D/ST,DST,CIN,0,0,0,0,0,0,0,0,0,0,0,0,1028,39,10,6,12,1,1,87.6
Titans D/ST,DST,TEN,0,0,0,0,0,0,0,0,0,0,0,0,1018,40,10,7,12,1,1,65
Commanders D/ST,DST,WSH,0,0,0,0,0,0,0,0,0,0,0,0,975,41,15,10,11,1,1,60.8
Cardinals D/ST,DST,ARI,0,0,0,0,0,0,0,0,0,0,0,0,1022,35,13,8,12,1,1,48.7
Giants D/ST,DST,NYG,0,0,0,0,0,0,0,0,0,0,0,0,1014,39,10,6,11,1,1,65
Cowboys D/ST,DST,DAL,0,0,0,0,0,0,0,0,0,0,0,0,1014,38,11,7,11,1,1,67.7
Dolphins D/ST,DST,MIA,0,0,0,0,0,0,0,0,0,0,0,0,1096,36,9,6,11,1,1,41.6
Tyquan Thornton,WR,KC,0,0,0,0,0,0,0,0,20,304,3,37,0,0,0,0,0,0,0,65.3
Jaylin Lane,WR,WSH,0,0,0,0,0,0,0,0,23,280,2,36,0,0,0,0,0,0,0,63.9
Kalif Raymond,WR,CHI,0,0,0,0,0,5,28,0,27,264,1,36,0,0,0,0,0,0,0,65.2
Darius Slayton,WR,NYG,0,0,0,0,0,2,12,0,22,299,1,35,0,0,0,0,0,0,0,61.6
Jahan Dotson,WR,ATL,0,0,0,0,0,0,0,0,26,322,2,45,0,0,0,0,0,0,0,68
Ja'Kobi Lane,WR,BAL,0,0,0,0,0,0,0,0,22,341,3,36,0,0,0,0,0,0,0,71.1
Jaylin Noel,WR,HOU,0,0,0,0,0,4,23,0,21,238,1,33,0,0,0,0,0,0,0,57.9
DeMario Douglas,WR,NE,0,0,0,0,0,4,22,0,22,265,1,30,0,0,0,0,0,0,0,60
Zachariah Branch,WR,ATL,0,0,0,0,0,0,0,0,21,254,1,34,0,0,0,0,0,0,0,55.9
Tutu Atwell,WR,MIA,0,0,0,0,0,2,10,0,22,299,0,38,0,0,0,0,0,0,0,55.3
Xavier Hutchinson,WR,HOU,0,0,0,0,0,2,13,0,19,230,1,33,0,0,0,0,0,0,0,49.7
Chris Brazzell II,WR,CAR,0,0,0,0,0,0,0,0,22,287,2,36,0,0,0,0,0,0,0,60.7
Malachi Fields,WR,NYG,0,0,0,0,0,0,0,0,20,235,1,30,0,0,0,0,0,0,0,50.8
Devontez Walker,WR,BAL,0,0,0,0,0,0,0,0,11,163,1,18,0,0,0,0,0,0,0,34.3
Hollywood Brown,WR,PHI,0,0,0,0,0,0,0,0,18,229,2,29,0,0,0,0,0,0,0,49.7
Cedric Tillman,WR,CLE,0,0,0,0,0,0,0,0,9,102,1,16,0,0,0,0,0,0,0,22.6
Ashton Dulin,WR,IND,0,0,0,0,0,4,26,0,17,203,1,26,0,0,0,0,0,0,0,46.2
Treylon Burks,WR,WSH,0,0,0,0,0,0,0,0,16,215,1,26,0,0,0,0,0,0,0,44.9
Kendrick Bourne,WR,ARI,0,0,0,0,0,0,0,0,19,200,1,29,0,0,0,0,0,0,0,42.4
Joshua Palmer,WR,BUF,0,0,0,0,0,0,0,0,16,203,1,27,0,0,0,0,0,0,0,44.1
Will Kacmarek,TE,MIA,0,0,0,0,0,0,0,0,19,179,1,27,0,0,0,0,0,0,0,41.5
